Recommender,Total Recommendations,Unique Pipelines,Diversity Ratio,Most Common Pipeline,Most Common %,Entropy
Paper PMM,19,10,0.5263157894736842,conservative,26.31578947368421,3.0708470921798225
PMM (Original),19,8,0.42105263157894735,robust_preprocess,31.57894736842105,2.58951830153538
Hybrid Meta,19,6,0.3157894736842105,mostfreq_standard_iqr,31.57894736842105,2.404793301596185
Bayesian Surrogate,19,6,0.3157894736842105,simple_preprocess,31.57894736842105,2.3789919860344453
NN Regressor,19,6,0.3157894736842105,conservative,36.84210526315789,2.2470847530514675
AutoGluon,19,6,0.3157894736842105,constant_maxabs_iforest,36.84210526315789,2.074087043693418
L1 Distance,19,5,0.2631578947368421,mean_minmax_lof_svd,47.368421052631575,1.9042788278285112
KNN Classifier,19,5,0.2631578947368421,baseline,42.10526315789473,1.8452178045957526
Random Forest,19,5,0.2631578947368421,baseline,68.42105263157895,1.4657904686170975
Neural Network,19,2,0.10526315789473684,baseline,94.73684210526315,0.2974722486307506
Average Rank,19,1,0.05263157894736842,constant_maxabs_iforest,100.0,-1.4426951601859516e-10
AdaBoost Regressor,19,1,0.05263157894736842,baseline,100.0,-1.4426951601859516e-10
Random,19,1,0.05263157894736842,dimension_reduction,100.0,-1.4426951601859516e-10
