Recommender,Mean Rank,Median Rank,Std Rank,Min Rank,Max Rank,Rank 1 Count,Top-3 Count,Bottom-3 Count
Random Forest,4.631578947368421,5.0,2.6795625392332325,1,9,4,8,0
Hybrid Meta,4.894736842105263,5.0,2.7889771156824783,1,12,3,6,1
AdaBoost Regressor,5.0,6.0,2.53397960362331,1,9,3,7,0
Neural Network,5.052631578947368,6.0,2.5020766997904658,1,9,3,6,0
AutoGluon,5.2105263157894735,6.0,2.89425833365632,1,10,4,6,1
Average Rank,5.2105263157894735,5.0,3.285998163955361,1,12,2,7,3
NN Regressor,5.2631578947368425,6.0,3.0923012255933435,1,10,3,7,3
PMM (Original),5.421052631578948,6.0,3.134121038096717,1,12,3,5,2
KNN Classifier,5.526315789473684,6.0,2.8904274142623114,1,12,2,6,1
Paper PMM,5.7894736842105265,6.0,2.8018592956223505,1,11,2,4,2
Bayesian Surrogate,6.052631578947368,6.0,2.5644058347536487,1,11,1,2,3
Random,8.736842105263158,9.0,3.005995855009186,2,12,0,2,8
L1 Distance,8.842105263157896,10.0,3.216129708937303,1,12,1,1,11
