Dataset,Avg Rank,Std Rank,Avg Regret,Perfect Count,Top-3 Count,Best Recommender,Best Rank,Worst Recommender,Worst Rank,GT Best Pipeline,GT Best Score,Score Range,Baseline Rank
23517,7.923076923076923,3.7072347839851933,0.04315384615384613,2,2,Average Rank,1,Random,12,constant_maxabs_iforest,0.52,0.057999999999999996,9
11,7.384615384615385,2.3992520201950973,0.015024771838331157,0,1,Random,3,Average Rank,12,dimension_reduction,0.968,0.02732203389830501,5
546,6.769230769230769,3.8762921749580523,0.07099932631283155,0,5,Random,2,Hybrid Meta,12,dimension_reduction,0.4568965517241379,0.1492042440318302,3
1503,6.538461538461538,2.7268841992093162,0.022742798397524133,1,1,Bayesian Surrogate,1,Average Rank,11,mutual_info_zscore,0.1246073298429319,0.03487760011320219,5
8,6.538461538461538,2.7268841992093167,0.05070161898185123,1,2,Hybrid Meta,1,Average Rank,11,aggressive,0.4385964912280701,0.10526315789473678,7
5,6.153846153846154,3.9548736567715586,0.08413965283374941,3,4,PMM (Original),1,Random,12,mostfreq_standard_iqr,0.8,0.17362637362637368,7
481,6.153846153846154,2.3750843439814178,0.025359256128486714,1,1,KNN Classifier,1,L1 Distance,11,robust_preprocess,0.9333333333333332,0.07619047619047614,6
475,6.076923076923077,2.9569561619323586,0.11044418390215002,1,3,KNN Classifier,1,L1 Distance,12,simple_preprocess,0.5125,0.39999999999999997,8
9,5.923076923076923,3.569816485982122,0.12796453401033844,1,5,NN Regressor,1,L1 Distance,12,simple_preprocess,0.8292682926829268,0.2682926829268292,5
255,5.923076923076923,1.9348358440936906,0.014168359785731362,0,3,KNN Classifier,3,L1 Distance,9,simple_preprocess,0.569,0.06952246603970735,3
3,5.769230769230769,2.2043081361221617,0.009653511051537337,0,1,NN Regressor,3,L1 Distance,12,simple_preprocess,0.9953125,0.05477195945945945,6
14,5.769230769230769,2.4884347876341253,0.03086161228771028,1,2,L1 Distance,1,Random,12,mutual_info_zscore,0.901015228426396,0.121015228426396,6
516,5.615384615384615,4.052539564652876,0.049328344591381725,4,5,Random Forest,1,Random,12,baseline,0.9974293059125964,0.1645244215938303,1
10,5.461538461538462,3.710691413905334,0.09440609365646832,0,6,Average Rank,2,Random,12,mean_minmax_lof_svd,0.9333333333333332,0.23333333333333328,3
183,5.384615384615385,1.757766648262388,0.01193847197908217,1,2,PMM (Original),1,KNN Classifier,7,robust_preprocess,0.2967581047381546,0.04581707587993633,7
1551,4.923076923076923,3.0946604138294527,0.11705167897118358,3,5,Random Forest,1,Random,10,baseline,0.425,0.2392857142857143,1
6,4.230769230769231,3.677722260535864,0.01379899948265466,3,7,NN Regressor,1,L1 Distance,12,conservative,0.945,0.07043962485345834,2
1552,4.076923076923077,3.499084129252931,0.03457244509876081,5,5,Average Rank,1,Random,12,constant_maxabs_iforest,0.4114832535885167,0.10239234449760759,5
12,3.923076923076923,3.252218177939954,0.009604862613153917,4,7,Random Forest,1,L1 Distance,12,baseline,0.9775,0.07000000000000006,1
