,AdaBoost Regressor,AutoGluon,Average Rank,Bayesian Surrogate,Hybrid Meta,KNN Classifier,L1 Distance,NN Regressor,Neural Network,PMM (Original),Paper PMM,Random,Random Forest
AdaBoost Regressor,100.0,5.263157894736842,0.0,0.0,21.052631578947366,42.10526315789473,0.0,5.263157894736842,94.73684210526315,21.052631578947366,5.263157894736842,0.0,68.42105263157895
AutoGluon,5.263157894736842,100.0,36.84210526315789,26.31578947368421,21.052631578947366,5.263157894736842,0.0,42.10526315789473,5.263157894736842,15.789473684210526,26.31578947368421,0.0,10.526315789473683
Average Rank,0.0,36.84210526315789,100.0,10.526315789473683,15.789473684210526,0.0,0.0,26.31578947368421,0.0,5.263157894736842,10.526315789473683,0.0,15.789473684210526
Bayesian Surrogate,0.0,26.31578947368421,10.526315789473683,100.0,26.31578947368421,5.263157894736842,0.0,21.052631578947366,0.0,26.31578947368421,31.57894736842105,0.0,10.526315789473683
Hybrid Meta,21.052631578947366,21.052631578947366,15.789473684210526,26.31578947368421,100.0,26.31578947368421,0.0,10.526315789473683,15.789473684210526,36.84210526315789,5.263157894736842,0.0,26.31578947368421
KNN Classifier,42.10526315789473,5.263157894736842,0.0,5.263157894736842,26.31578947368421,100.0,5.263157894736842,0.0,36.84210526315789,21.052631578947366,0.0,10.526315789473683,26.31578947368421
L1 Distance,0.0,0.0,0.0,0.0,0.0,5.263157894736842,100.0,5.263157894736842,0.0,10.526315789473683,0.0,5.263157894736842,0.0
NN Regressor,5.263157894736842,42.10526315789473,26.31578947368421,21.052631578947366,10.526315789473683,0.0,5.263157894736842,100.0,10.526315789473683,5.263157894736842,21.052631578947366,0.0,5.263157894736842
Neural Network,94.73684210526315,5.263157894736842,0.0,0.0,15.789473684210526,36.84210526315789,0.0,10.526315789473683,100.0,21.052631578947366,5.263157894736842,0.0,63.1578947368421
PMM (Original),21.052631578947366,15.789473684210526,5.263157894736842,26.31578947368421,36.84210526315789,21.052631578947366,10.526315789473683,5.263157894736842,21.052631578947366,100.0,10.526315789473683,21.052631578947366,26.31578947368421
Paper PMM,5.263157894736842,26.31578947368421,10.526315789473683,31.57894736842105,5.263157894736842,0.0,0.0,21.052631578947366,5.263157894736842,10.526315789473683,100.0,0.0,15.789473684210526
Random,0.0,0.0,0.0,0.0,0.0,10.526315789473683,5.263157894736842,0.0,0.0,21.052631578947366,0.0,100.0,0.0
Random Forest,68.42105263157895,10.526315789473683,15.789473684210526,10.526315789473683,26.31578947368421,26.31578947368421,0.0,5.263157894736842,63.1578947368421,26.31578947368421,15.789473684210526,0.0,100.0
