Recommender,Top Feature,Correlation,Avg Rank Std
KNN Classifier,MinSkewnessOfNumericAtts,0.5880868850486463,2.8904274142623114
Paper PMM,Quartile3MeansOfNumericAtts,0.5502773406669087,2.8018592956223505
Bayesian Surrogate,DecisionStumpErrRate,0.5376578663270677,2.5644058347536487
NN Regressor,MaxAttributeEntropy,0.5051043684289027,3.0923012255933435
Hybrid Meta,CfsSubsetEval_kNN1NAUC,0.4977483818018896,2.7889771156824783
PMM (Original),NumberOfClasses,0.49215665936260394,3.134121038096717
Average Rank,MaxAttributeEntropy,0.4891344152837978,3.285998163955361
Random Forest,Quartile3MeansOfNumericAtts,0.4877246267314484,2.6795625392332325
Random,MinMeansOfNumericAtts,0.46076773678675026,3.005995855009186
Neural Network,MajorityClassPercentage,0.4491418918803225,2.5020766997904658
AdaBoost Regressor,MajorityClassPercentage,0.41688419280122296,2.53397960362331
AutoGluon,AutoCorrelation,0.41680498478498024,2.89425833365632
L1 Distance,MinMeansOfNumericAtts,0.41111588761657486,3.216129708937303
