dataset,ground_truth_best,recommended_pipeline,rank,baseline_rank,better_than_baseline,recommended_score,baseline_score,best_score,score_gap,num_pipelines
D_1503,mutual_info_zscore,constant_maxabs_iforest,7,4,no,0.1063157894736842,0.108,0.1225130890052356,0.0161972995315514,12
D_23517,constant_maxabs_iforest,constant_maxabs_iforest,1,12,yes,0.52,0.464,0.52,0.0,12
D_1551,baseline,constant_maxabs_iforest,3,1,no,0.3421052631578947,0.425,0.425,0.0828947368421053,12
D_1552,constant_maxabs_iforest,constant_maxabs_iforest,1,5,yes,0.4114832535885167,0.3681818181818181,0.4114832535885167,0.0,12
D_183,aggressive,constant_maxabs_iforest,4,8,yes,0.2833753148614609,0.2619617224880383,0.3116666666666666,0.0282913518052057,12
D_255,robust_preprocess,constant_maxabs_iforest,5,4,no,0.5494736842105263,0.552,0.5695296523517382,0.02005596814121191,12
D_546,dimension_reduction,constant_maxabs_iforest,7,3,no,0.3909090909090909,0.4396551724137931,0.4482758620689655,0.05736677115987465,12
D_475,simple_preprocess,constant_maxabs_iforest,5,8,yes,0.4342105263157895,0.375,0.5125,0.07828947368421046,12
D_481,robust_preprocess,constant_maxabs_iforest,4,6,yes,0.9230769230769232,0.9047619047619048,0.9333333333333332,0.010256410256409998,12
D_516,baseline,constant_maxabs_iforest,2,1,no,0.997289972899729,0.9974293059125964,0.9974293059125964,0.00013933301286739308,12
D_3,simple_preprocess,constant_maxabs_iforest,6,5,no,0.993421052631579,0.9953125,0.9984375,0.005016447368420995,12
D_6,mutual_info_zscore,constant_maxabs_iforest,6,2,no,0.9315789473684212,0.942,0.9470782800441014,0.015499332675680266,12
D_8,aggressive,constant_maxabs_iforest,11,7,no,0.3538461538461538,0.3768115942028985,0.4385964912280701,0.08475033738191629,12
D_10,mean_minmax_lof_svd,constant_maxabs_iforest,3,4,yes,0.8928571428571429,0.8666666666666667,0.9333333333333332,0.04047619047619033,12
D_12,constant_maxabs_iforest,constant_maxabs_iforest,1,2,yes,0.9789473684210528,0.9775,0.9789473684210528,0.0,12
D_14,mostfreq_standard_iqr,constant_maxabs_iforest,7,6,no,0.868421052631579,0.875,0.8947368421052632,0.02631578947368418,12
D_9,simple_preprocess,constant_maxabs_iforest,2,6,yes,0.7692307692307693,0.7073170731707317,0.8292682926829268,0.060037523452157515,12
D_11,dimension_reduction,constant_maxabs_iforest,12,5,no,0.940677966101695,0.952,0.968,0.02732203389830501,12
D_5,mostfreq_standard_iqr,constant_maxabs_iforest,2,6,yes,0.7325581395348837,0.7032967032967034,0.8,0.06744186046511635,12
