Recommender,Type,Training Success,Training Time (s),Successful Recs,Accuracy (%),Avg Degradation (%),Avg Rank,Better than Baseline (%),Equal to Baseline (%),Worse than Baseline (%),Errors
Random Forest,rf,✅,0.67,19/20,21.052631578947366,6.133453256903567,4.631578947368421,21.052631578947366,73.68421052631578,5.263157894736842,1
Hybrid Meta,hybrid,✅,0.52,19/20,10.526315789473683,7.991347486078277,4.894736842105263,47.368421052631575,31.57894736842105,21.052631578947366,1
AdaBoost Regressor,adaboost,✅,1.39,19/20,15.789473684210526,6.7933594458038264,5.0,0.0,100.0,0.0,1
Neural Network,nn,✅,2.80,19/20,15.789473684210526,6.7933594458038264,5.052631578947368,0.0,100.0,0.0,1
AutoGluon,autogluon,✅,3028.52,19/20,21.052631578947366,6.770783261249755,5.2105263157894735,42.10526315789473,15.789473684210526,42.10526315789473,1
Average Rank,average-rank,✅,0.00,19/20,10.526315789473683,6.918031518996641,5.2105263157894735,47.368421052631575,0.0,52.63157894736842,1
NN Regressor,regressor,✅,8.11,19/20,21.052631578947366,6.655433450202822,5.2631578947368425,47.368421052631575,21.052631578947366,31.57894736842105,1
PMM (Original),pmm,✅,27.72,19/20,21.052631578947366,8.421091228653017,5.421052631578948,42.10526315789473,31.57894736842105,26.31578947368421,1
KNN Classifier,knn,✅,0.50,19/20,10.526315789473683,8.40633198963542,5.526315789473684,26.31578947368421,42.10526315789473,31.57894736842105,1
Paper PMM,paper_pmm,✅,42.19,19/20,10.526315789473683,9.754906688717242,5.7894736842105265,36.84210526315789,21.052631578947366,42.10526315789473,1
Bayesian Surrogate,surrogate,✅,5.71,19/20,5.263157894736842,9.520123712505445,6.052631578947368,42.10526315789473,26.31578947368421,31.57894736842105,1
Random,random,✅,0.00,19/20,10.526315789473683,15.05284055136404,8.736842105263158,21.052631578947366,5.263157894736842,73.68421052631578,1
L1 Distance,l1,✅,0.02,19/20,5.263157894736842,16.949059975009053,8.842105263157896,26.31578947368421,0.0,73.68421052631578,1
