Dataset,Recommender,Recommended Pipeline,Pipeline Score,Pipeline Rank,Regret,Ground Truth Best,Best Score,Baseline Score,Correct
3,NN Regressor,mostfreq_standard_iqr,0.9953125,3,0.0,simple_preprocess,0.9953125,0.990625,False
3,Paper PMM,conservative,0.9953125,4,0.0,simple_preprocess,0.9953125,0.990625,False
3,Average Rank,constant_maxabs_iforest,0.993421052631579,5,0.001891447368421062,simple_preprocess,0.9953125,0.990625,False
3,Random Forest,constant_maxabs_iforest,0.993421052631579,5,0.001891447368421062,simple_preprocess,0.9953125,0.990625,False
3,PMM (Original),constant_maxabs_iforest,0.993421052631579,5,0.001891447368421062,simple_preprocess,0.9953125,0.990625,False
3,Hybrid Meta,constant_maxabs_iforest,0.993421052631579,5,0.001891447368421062,simple_preprocess,0.9953125,0.990625,False
3,Bayesian Surrogate,constant_maxabs_iforest,0.993421052631579,5,0.001891447368421062,simple_preprocess,0.9953125,0.990625,False
3,AutoGluon,constant_maxabs_iforest,0.993421052631579,5,0.001891447368421062,simple_preprocess,0.9953125,0.990625,False
3,KNN Classifier,baseline,0.990625,6,0.004687500000000067,simple_preprocess,0.9953125,0.990625,False
3,Neural Network,baseline,0.990625,6,0.004687500000000067,simple_preprocess,0.9953125,0.990625,False
3,AdaBoost Regressor,baseline,0.990625,6,0.004687500000000067,simple_preprocess,0.9953125,0.990625,False
3,Random,dimension_reduction,0.95,8,0.04531250000000009,simple_preprocess,0.9953125,0.990625,False
3,L1 Distance,mean_minmax_lof_svd,0.9405405405405406,12,0.05477195945945945,simple_preprocess,0.9953125,0.990625,False
5,PMM (Original),mostfreq_standard_iqr,0.8,1,0.0,mostfreq_standard_iqr,0.8,0.7032967032967034,True
5,Hybrid Meta,mostfreq_standard_iqr,0.8,1,0.0,mostfreq_standard_iqr,0.8,0.7032967032967034,True
5,AutoGluon,mostfreq_standard_iqr,0.8,1,0.0,mostfreq_standard_iqr,0.8,0.7032967032967034,True
5,Average Rank,constant_maxabs_iforest,0.7325581395348837,3,0.06744186046511635,mostfreq_standard_iqr,0.8,0.7032967032967034,False
5,L1 Distance,aggressive,0.7230769230769231,5,0.07692307692307698,mostfreq_standard_iqr,0.8,0.7032967032967034,False
5,NN Regressor,conservative,0.7142857142857143,6,0.08571428571428574,mostfreq_standard_iqr,0.8,0.7032967032967034,False
5,Bayesian Surrogate,conservative,0.7142857142857143,6,0.08571428571428574,mostfreq_standard_iqr,0.8,0.7032967032967034,False
5,Neural Network,baseline,0.7032967032967034,7,0.09670329670329669,mostfreq_standard_iqr,0.8,0.7032967032967034,False
5,AdaBoost Regressor,baseline,0.7032967032967034,7,0.09670329670329669,mostfreq_standard_iqr,0.8,0.7032967032967034,False
5,Random Forest,simple_preprocess,0.7032967032967034,8,0.09670329670329669,mostfreq_standard_iqr,0.8,0.7032967032967034,False
5,Paper PMM,knn_impute_pca,0.6593406593406593,11,0.14065934065934071,mostfreq_standard_iqr,0.8,0.7032967032967034,False
5,Random,dimension_reduction,0.6263736263736264,12,0.17362637362637368,mostfreq_standard_iqr,0.8,0.7032967032967034,False
5,KNN Classifier,dimension_reduction,0.6263736263736264,12,0.17362637362637368,mostfreq_standard_iqr,0.8,0.7032967032967034,False
6,NN Regressor,conservative,0.945,1,0.0,conservative,0.945,0.944,True
6,Hybrid Meta,conservative,0.945,1,0.0,conservative,0.945,0.944,True
6,AutoGluon,conservative,0.945,1,0.0,conservative,0.945,0.944,True
6,KNN Classifier,baseline,0.944,2,0.0010000000000000009,conservative,0.945,0.944,False
6,Random Forest,baseline,0.944,2,0.0010000000000000009,conservative,0.945,0.944,False
6,Neural Network,baseline,0.944,2,0.0010000000000000009,conservative,0.945,0.944,False
6,AdaBoost Regressor,baseline,0.944,2,0.0010000000000000009,conservative,0.945,0.944,False
6,PMM (Original),simple_preprocess,0.944,4,0.0010000000000000009,conservative,0.945,0.944,False
6,Bayesian Surrogate,simple_preprocess,0.944,4,0.0010000000000000009,conservative,0.945,0.944,False
6,Average Rank,constant_maxabs_iforest,0.9347368421052632,6,0.010263157894736752,conservative,0.945,0.944,False
6,Paper PMM,mostfreq_standard_iqr,0.9013157894736842,8,0.04368421052631577,conservative,0.945,0.944,False
6,Random,dimension_reduction,0.896,10,0.04899999999999993,conservative,0.945,0.944,False
6,L1 Distance,aggressive,0.8745603751465416,12,0.07043962485345834,conservative,0.945,0.944,False
8,Hybrid Meta,mostfreq_standard_iqr,0.4385964912280701,1,0.0,aggressive,0.4385964912280701,0.3768115942028985,False
8,NN Regressor,aggressive,0.4385964912280701,2,0.0,aggressive,0.4385964912280701,0.3768115942028985,True
8,Random,dimension_reduction,0.391304347826087,6,0.04729214340198312,aggressive,0.4385964912280701,0.3768115942028985,False
8,L1 Distance,dimension_reduction,0.391304347826087,6,0.04729214340198312,aggressive,0.4385964912280701,0.3768115942028985,False
8,KNN Classifier,dimension_reduction,0.391304347826087,6,0.04729214340198312,aggressive,0.4385964912280701,0.3768115942028985,False
8,PMM (Original),dimension_reduction,0.391304347826087,6,0.04729214340198312,aggressive,0.4385964912280701,0.3768115942028985,False
8,Random Forest,baseline,0.3768115942028985,7,0.06178489702517159,aggressive,0.4385964912280701,0.3768115942028985,False
8,Neural Network,baseline,0.3768115942028985,7,0.06178489702517159,aggressive,0.4385964912280701,0.3768115942028985,False
8,AdaBoost Regressor,baseline,0.3768115942028985,7,0.06178489702517159,aggressive,0.4385964912280701,0.3768115942028985,False
8,AutoGluon,conservative,0.3768115942028985,8,0.06178489702517159,aggressive,0.4385964912280701,0.3768115942028985,False
8,Paper PMM,conservative,0.3768115942028985,8,0.06178489702517159,aggressive,0.4385964912280701,0.3768115942028985,False
8,Bayesian Surrogate,simple_preprocess,0.3623188405797101,10,0.07627765064836001,aggressive,0.4385964912280701,0.3768115942028985,False
8,Average Rank,constant_maxabs_iforest,0.3538461538461538,11,0.08475033738191629,aggressive,0.4385964912280701,0.3768115942028985,False
9,NN Regressor,simple_preprocess,0.8292682926829268,1,0.0,simple_preprocess,0.8292682926829268,0.7073170731707317,True
9,Average Rank,constant_maxabs_iforest,0.7692307692307693,2,0.060037523452157515,simple_preprocess,0.8292682926829268,0.7073170731707317,False
