,AutoCorrelation,CfsSubsetEval_DecisionStumpAUC,CfsSubsetEval_DecisionStumpErrRate,CfsSubsetEval_DecisionStumpKappa,CfsSubsetEval_NaiveBayesAUC,CfsSubsetEval_NaiveBayesErrRate,CfsSubsetEval_NaiveBayesKappa,CfsSubsetEval_kNN1NAUC,CfsSubsetEval_kNN1NErrRate,CfsSubsetEval_kNN1NKappa,ClassEntropy,DecisionStumpAUC,DecisionStumpErrRate,DecisionStumpKappa,Dimensionality,EquivalentNumberOfAtts,J48.00001.AUC,J48.00001.ErrRate,J48.00001.Kappa,J48.0001.AUC,J48.0001.ErrRate,J48.0001.Kappa,J48.001.AUC,J48.001.ErrRate,J48.001.Kappa,MajorityClassPercentage,MajorityClassSize,MaxAttributeEntropy,MaxKurtosisOfNumericAtts,MaxMeansOfNumericAtts,MaxMutualInformation,MaxNominalAttDistinctValues,MaxSkewnessOfNumericAtts,MaxStdDevOfNumericAtts,MeanAttributeEntropy,MeanKurtosisOfNumericAtts,MeanMeansOfNumericAtts,MeanMutualInformation,MeanNoiseToSignalRatio,MeanNominalAttDistinctValues,MeanSkewnessOfNumericAtts,MeanStdDevOfNumericAtts,MinAttributeEntropy,MinKurtosisOfNumericAtts,MinMeansOfNumericAtts,MinMutualInformation,MinNominalAttDistinctValues,MinSkewnessOfNumericAtts,MinStdDevOfNumericAtts,MinorityClassPercentage,MinorityClassSize,NaiveBayesAUC,NaiveBayesErrRate,NaiveBayesKappa,NumberOfBinaryFeatures,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,PercentageOfBinaryFeatures,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,PercentageOfNumericFeatures,PercentageOfSymbolicFeatures,Quartile1AttributeEntropy,Quartile1KurtosisOfNumericAtts,Quartile1MeansOfNumericAtts,Quartile1MutualInformation,Quartile1SkewnessOfNumericAtts,Quartile1StdDevOfNumericAtts,Quartile2AttributeEntropy,Quartile2KurtosisOfNumericAtts,Quartile2MeansOfNumericAtts,Quartile2MutualInformation,Quartile2SkewnessOfNumericAtts,Quartile2StdDevOfNumericAtts,Quartile3AttributeEntropy,Quartile3KurtosisOfNumericAtts,Quartile3MeansOfNumericAtts,Quartile3MutualInformation,Quartile3SkewnessOfNumericAtts,Quartile3StdDevOfNumericAtts,REPTreeDepth1AUC,REPTreeDepth1ErrRate,REPTreeDepth1Kappa,REPTreeDepth2AUC,REPTreeDepth2ErrRate,REPTreeDepth2Kappa,REPTreeDepth3AUC,REPTreeDepth3ErrRate,REPTreeDepth3Kappa,RandomTreeDepth1AUC,RandomTreeDepth1ErrRate,RandomTreeDepth1Kappa,RandomTreeDepth2AUC,RandomTreeDepth2ErrRate,RandomTreeDepth2Kappa,RandomTreeDepth3AUC,RandomTreeDepth3ErrRate,RandomTreeDepth3Kappa,StdvNominalAttDistinctValues,kNN1NAUC,kNN1NErrRate,kNN1NKappa
3_Dataset_3,0.999061033,0.961912066,0.059136421,0.881192021,0.961912066,0.059136421,0.881192021,0.961912066,0.059136421,0.881192021,0.998575539,0.671403454,0.339486859,0.339643769,0.011576971,52.1404017,0.996062291,0.007822278,0.98432581,0.996062291,0.007822278,0.98432581,0.996062291,0.007822278,0.98432581,52.22152691,1669.0,0.995652185,,,0.19826688,3.0,,,0.590148291,,,0.019151666,29.81446298,2.027027027,,,0.00409403,,,1.18e-09,2.0,,,47.77847309,1527.0,0.952041994,0.121088861,0.756970878,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,94.59459459,0.0,0.0,0.0,100.0,0.287560004,,,0.000777596,,,0.679499625,,,0.005426489,,,0.913232981,,,0.018486121,,,0.997615519,0.013767209,0.972417267,0.997615519,0.013767209,0.972417267,0.997615519,0.013767209,0.972417267,0.945136338,0.054443054,0.890849865,0.945136338,0.054443054,0.890849865,0.945136338,0.054443054,0.890849865,0.164398987,0.972842735,0.069148936,0.860967657
5_Dataset_5,0.354767184,0.765396606,0.309734513,0.517550547,0.765396606,0.309734513,0.517550547,0.765396606,0.309734513,0.517550547,2.4013863,0.601557683,0.433628319,0.187534964,0.619469027,150.9346409,0.738341511,0.342920354,0.479548933,0.738341511,0.342920354,0.479548933,0.738341511,0.342920354,0.479548933,54.20353982,245.0,0.992515971,452.0,367.2079646,0.096306601,13.0,21.26029163,127.2202476,0.0746119,50.38865143,14.3486045,0.015910107,3.689591341,2.027027027,1.327007817,9.970201092,0.0,-1.635150923,-23.49911504,0.0,1.0,-21.26029163,0.0,0.442477876,2.0,0.786228109,0.396017699,0.406571806,73.0,13.0,280.0,452.0,384.0,408.0,206.0,74.0,26.07142857,84.95575221,0.322376738,73.57142857,26.42857143,0.02270194,2.165153949,0.0,0.004994167,-0.669309919,0.969269776,0.05756491,7.218928059,0.931969027,0.01268131,0.35488434,3.481589535,0.087753726,31.70901364,19.96238938,0.02423946,2.579932016,16.45076155,0.738091611,0.349557522,0.445902224,0.738091611,0.349557522,0.445902224,0.738091611,0.349557522,0.445902224,0.621705578,0.506637168,0.232967261,0.621705578,0.506637168,0.232967261,0.621705578,0.506637168,0.232967261,1.334196931,0.598570385,0.46460177,0.212778662
7_Dataset_7,0.324444444,0.912598799,0.269911504,0.683087745,0.912598799,0.269911504,0.683087745,0.912598799,0.269911504,0.683087745,3.421946788,0.758367637,0.53539823,0.305939086,0.309734513,24.87065346,0.920832103,0.256637168,0.69960583,0.920832103,0.256637168,0.69960583,0.920832103,0.256637168,0.69960583,25.22123894,57.0,2.171247608,,,0.903440864,24.0,,,0.318115372,,,0.137589742,1.312057335,2.542857143,,,0.040972024,,,0.008835497,2.0,,,0.442477876,1.0,0.946542242,0.380530973,0.532923195,61.0,24.0,70.0,226.0,222.0,317.0,0.0,70.0,87.14285714,98.2300885,2.003792668,0.0,100.0,0.040972024,,,0.020930763,,,0.073066119,,,0.047539794,,,0.299411329,,,0.141962061,,,0.90297152,0.296460177,0.645328274,0.90297152,0.296460177,0.645328274,0.90297152,0.296460177,0.645328274,0.795064976,0.39380531,0.53317706,0.795064976,0.39380531,0.53317706,0.795064976,0.39380531,0.53317706,2.706330283,0.871836712,0.265486726,0.685827483
8_Dataset_8,0.825581395,,,,,,,,,,,,,,0.017391304,,,,,,,,,,,,,,13.81391175,90.15942029,,,3.063498642,39.25461617,,6.571175731,42.80289855,,,,1.68861962,15.8275034,,0.747882831,3.455072464,,,-0.388433124,3.337835265,,,,,,0.0,0.0,6.0,345.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,100.0,0.0,,2.12568884,19.34637681,,0.468141798,4.170530797,,5.901776568,34.34492754,,1.918445936,14.20608205,,11.3110398,74.94202899,,2.91544483,24.44788572,,,,,,,,,,,,,,,,,,,,,,
9_Dataset_9,0.632352941,0.842861757,0.36097561,0.526011561,0.842861757,0.36097561,0.526011561,0.842861757,0.36097561,0.526011561,2.272474019,0.693905179,0.551219512,0.213679566,0.126829268,7.907213335,0.856695663,0.312195122,0.598014584,0.856695663,0.312195122,0.598014584,0.856695663,0.312195122,0.598014584,32.68292683,67.0,4.117919521,5.305682092,13207.12935,0.921073321,22.0,2.610862458,7947.066342,1.392577687,1.3593186,1447.091008,0.287392527,3.845559845,6.0,0.799581463,606.9879338,0.110145431,-0.8289454,3.255422886,0.040981296,2.0,-0.683122194,0.273538732,1.463414634,3.0,0.83684896,0.419512195,0.462467224,4.0,6.0,26.0,205.0,46.0,59.0,15.0,11.0,15.38461538,22.43902439,1.106941839,57.69230769,42.30769231,0.626161274,-0.042853766,25.2195122,0.057897892,0.073236691,2.44352197,1.185212866,0.57864834,98.75658537,0.22060529,0.681398189,6.886443131,1.797437344,2.623279794,174.0492683,0.424032499,1.391029494,41.64269344,0.80372066,0.43902439,0.417632019,0.80372066,0.43902439,0.417632019,0.80372066,0.43902439,0.417632019,0.842526261,0.268292683,0.651435991,0.842526261,0.268292683,0.651435991,0.842526261,0.268292683,0.651435991,5.796550698,0.825862493,0.258536585,0.66632885
10_Dataset_10,0.503401361,0.792454585,0.236486486,0.547440154,0.792454585,0.236486486,0.547440154,0.792454585,0.236486486,0.547440154,1.227677502,0.771565654,0.243243243,0.53164557,0.128378378,9.376802234,0.803504013,0.243243243,0.55,0.803504013,0.243243243,0.55,0.803504013,0.243243243,0.55,54.72972973,81.0,2.527125738,29.74946513,2.601351351,0.401883876,8.0,5.442361694,1.905023309,1.117406185,9.883463404,2.045045045,0.130927098,7.534567748,3.0,2.326489482,1.018402305,0.274803196,-0.504096048,1.060810811,0.029119963,2.0,0.333795162,0.313556543,1.351351351,2.0,0.908328265,0.155405405,0.701482066,9.0,4.0,19.0,148.0,0.0,0.0,3.0,16.0,47.36842105,0.0,0.0,15.78947368,84.21052632,0.740448245,-0.504096048,1.060810811,0.063794872,0.333795162,0.313556543,0.99155285,0.405021133,2.472972973,0.135651203,1.20331159,0.836627063,1.608258557,29.74946513,2.601351351,0.17368799,5.442361694,1.905023309,0.746657923,0.290540541,0.430361618,0.746657923,0.290540541,0.430361618,0.746657923,0.290540541,0.430361618,0.757621072,0.243243243,0.529536424,0.757621072,0.243243243,0.529536424,0.757621072,0.243243243,0.529536424,1.591644852,0.827737633,0.195945946,0.623706821
11_Dataset_11,0.697115385,0.84068246,0.1984,0.637396366,0.84068246,0.1984,0.637396366,0.84068246,0.1984,0.637396366,1.318116246,0.646919436,0.376,0.302670623,0.008,,0.84068246,0.1984,0.637396366,0.84068246,0.1984,0.637396366,0.84068246,0.1984,0.637396366,46.08,288.0,,-1.300798439,3.0,,3.0,0.0,1.415346293,,-1.300798439,3.0,,,3.0,0.0,1.415346293,,-1.300798439,3.0,,3.0,0.0,1.415346293,7.84,49.0,0.963095112,0.104,0.807121662,0.0,3.0,5.0,625.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,80.0,20.0,,-1.300798439,3.0,,0.0,1.415346293,,-1.300798439,3.0,,0.0,1.415346293,,-1.300798439,3.0,,0.0,1.415346293,0.852566827,0.2144,0.602373887,0.852566827,0.2144,0.602373887,0.852566827,0.2144,0.602373887,0.834430638,0.2144,0.625731778,0.834430638,0.2144,0.625731778,0.834430638,0.2144,0.625731778,0.0,0.92320087,0.1648,0.702793167
12_Dataset_12,0.995497749,0.936031528,0.1335,0.851666667,0.936031528,0.1335,0.851666667,0.936031528,0.1335,0.851666667,3.321928095,0.720746944,0.8065,0.103888889,0.1085,,0.927710278,0.1375,0.847222222,0.927710278,0.1375,0.847222222,0.927710278,0.1375,0.847222222,10.0,200.0,,1.7012863,1141.5705,,10.0,0.863070531,153.5115814,,-0.315188201,318.2703889,,,10.0,0.027560517,49.58131318,,-1.389320959,6.7675,,10.0,-1.073823789,1.985485035,10.0,200.0,0.9919075,0.0765,0.915,0.0,10.0,217.0,2000.0,0.0,0.0,216.0,1.0,0.0,0.0,0.0,99.53917051,0.460829493,,-0.697046748,14.118125,,-0.219026367,5.542689318,,-0.402691166,146.47975,,-0.014119361,30.29006568,,0.011386305,684.50275,,0.366512598,91.59687126,0.948628472,0.1575,0.825,0.948628472,0.1575,0.825,0.948628472,0.1575,0.825,0.892777778,0.193,0.785555556,0.892777778,0.193,0.785555556,0.892777778,0.193,0.785555556,0.0,0.975326111,0.044,0.951111111
13_Dataset_13,0.568421053,0.620368745,0.297202797,0.255709999,0.678084178,0.272727273,0.27311828,0.630640913,0.304195804,0.15407629,0.877844695,0.620368745,0.297202797,0.255709999,0.034965035,26.01097249,0.495815042,0.297202797,0.0,0.495815042,0.297202797,0.0,0.495815042,0.297202797,0.0,70.27972028,201.0,3.024361435,,,0.077009853,11.0,,,1.511903353,,,0.033749015,43.79844414,4.3,,,0.767003077,,,0.002001615,2.0,,,29.72027972,85.0,0.694966345,0.276223776,0.282775697,4.0,2.0,10.0,286.0,9.0,9.0,0.0,10.0,40.0,3.146853147,0.314685315,0.0,100.0,0.894219956,,,0.005491985,,,1.318678117,,,0.025819024,,,2.017460691,,,0.063083107,,,0.51372549,0.328671329,-0.050730868,0.484460053,0.325174825,-0.016509975,0.484460053,0.325174825,-0.016509975,0.587415862,0.297202797,0.204879963,0.583494293,0.286713287,0.218110289,0.558530875,0.328671329,0.155918367,2.983286778,0.59332748,0.300699301,0.186263482
14_Dataset_14,0.995497749,0.879430417,0.254,0.717777778,0.879430417,0.254,0.717777778,0.879430417,0.254,0.717777778,3.321928095,0.72435,0.8045,0.106111111,0.0385,,0.859421944,0.282,0.686666667,0.859421944,0.282,0.686666667,0.859421944,0.282,0.686666667,10.0,200.0,,1.99492262,0.377310572,,10.0,1.029985535,0.176230671,,0.119006281,0.132032084,,,10.0,0.544700684,0.067107952,,-1.12527931,0.071692026,,10.0,-0.12062462,0.037555499,10.0,200.0,0.9626375,0.2465,0.726111111,0.0,10.0,77.0,2000.0,0.0,0.0,76.0,1.0,0.0,0.0,0.0,98.7012987,1.298701299,,-0.178901488,0.086326135,,0.408990764,0.042704305,,0.063023014,0.106499876,,0.554228168,0.052759298,,0.438104024,0.155768107,,0.710784769,0.086335201,0.926123333,0.2845,0.683888889,0.926123333,0.2845,0.683888889,0.926123333,0.2845,0.683888889,0.791388889,0.3755,0.582777778,0.791388889,0.3755,0.582777778,0.791388889,0.3755,0.582777778,0.0,0.882509167,0.2115,0.765
