,D_953,D_954,D_955,D_956,D_957,D_958,D_959,D_960,D_961,D_962,D_963,D_964,D_965,D_966,D_967,D_968,D_969,D_970,D_971,D_972,D_973,D_974,D_975,D_976,D_977,D_978,D_979,D_980,D_981
autodp_00_baseline,,0.9719626168224299,0.6774193548387096,0.6363636363636364,0.7951807228915663,0.9956709956709957,1.0,0.6666666666666666,0.8421052631578947,1.0,0.7796610169491526,0.75,,0.9477611940298507,0.8780487804878049,0.8767123287671232,1.0,0.9940828402366864,1.0,0.8181818181818182,0.9722222222222222,0.7037037037037037,0.7317073170731707,0.943,0.971,0.995,0.853,0.985,0.881
autodp_ofat_imputation_random,,0.9719626168224299,0.6774193548387096,0.6363636363636364,0.8192771084337349,0.9956709956709957,1.0,0.6666666666666666,0.8421052631578947,1.0,0.7288135593220338,0.75,,0.9514925373134329,0.8414634146341463,0.8767123287671232,1.0,0.9940828402366864,1.0,0.8181818181818182,0.9722222222222222,0.7037037037037037,0.7073170731707317,0.943,0.971,0.995,0.853,0.985,0.881
autodp_ofat_imputation_drop,,0.9719626168224299,0.6774193548387096,0.6363636363636364,0.7951807228915663,0.9956709956709957,1.0,0.6666666666666666,0.8421052631578947,1.0,,0.75,,0.9552238805970149,0.8658536585365854,0.8904109589041096,1.0,0.9940828402366864,1.0,0.8181818181818182,0.9722222222222222,0.7037037037037037,0.7073170731707317,0.943,0.971,0.995,0.853,0.985,0.889
autodp_ofat_imputation_knn,,0.9719626168224299,0.6774193548387096,0.6363636363636364,0.7831325301204819,0.9956709956709957,1.0,0.6666666666666666,0.8421052631578947,1.0,0.7796610169491526,0.75,,0.9477611940298507,0.8780487804878049,0.8767123287671232,1.0,0.9940828402366864,1.0,0.8181818181818182,0.9722222222222222,0.7037037037037037,0.7073170731707317,0.943,0.971,0.995,0.853,0.985,0.881
autodp_ofat_imputation_most_frequent,,0.9719626168224299,0.6774193548387096,0.6363636363636364,0.7951807228915663,0.9956709956709957,1.0,0.6666666666666666,0.8245614035087719,1.0,0.7796610169491526,0.75,,0.9514925373134329,0.9024390243902439,0.8767123287671232,1.0,0.9940828402366864,1.0,0.8181818181818182,0.9722222222222222,0.7037037037037037,0.7073170731707317,0.943,0.971,0.995,0.853,0.985,0.881
autodp_ofat_imputation_em,,0.9719626168224299,0.6774193548387096,0.6363636363636364,0.7951807228915663,0.9956709956709957,1.0,0.6666666666666666,0.8245614035087719,1.0,0.7796610169491526,0.75,,0.9552238805970149,0.8658536585365854,0.8767123287671232,1.0,0.9940828402366864,1.0,0.8181818181818182,0.9722222222222222,0.7037037037037037,0.7073170731707317,0.943,0.971,0.995,0.853,0.985,0.881
autodp_ofat_imputation_mice,,0.9719626168224299,0.6774193548387096,0.6363636363636364,0.8072289156626506,0.9956709956709957,1.0,0.6666666666666666,0.8245614035087719,1.0,0.7966101694915254,0.75,,0.9477611940298507,0.8902439024390244,0.8767123287671232,1.0,0.9940828402366864,1.0,0.8181818181818182,0.9722222222222222,0.7037037037037037,0.7317073170731707,0.943,0.971,0.995,0.853,0.985,0.881
autodp_ofat_encoding_ordinal,,0.9626168224299065,0.6451612903225806,0.7272727272727273,0.7469879518072289,0.9956709956709957,1.0,0.5,0.543859649122807,1.0,0.7966101694915254,0.75,1.0,0.9328358208955224,0.8292682926829268,0.8767123287671232,1.0,0.9940828402366864,1.0,0.8181818181818182,0.9722222222222222,0.7037037037037037,0.7073170731707317,0.943,0.971,0.995,0.853,0.985,0.873
autodp_ofat_encoding_binary,,0.9626168224299065,0.6774193548387096,0.5909090909090909,0.7951807228915663,0.9956709956709957,1.0,0.7222222222222222,0.8245614035087719,1.0,0.7796610169491526,0.75,1.0,0.9402985074626866,0.8414634146341463,0.8767123287671232,1.0,0.9940828402366864,1.0,0.8181818181818182,0.9722222222222222,0.7037037037037037,0.6829268292682927,0.943,0.971,0.995,0.853,0.985,0.878
autodp_ofat_encoding_frequency,,0.9626168224299065,0.6129032258064516,0.6818181818181818,0.7590361445783133,0.9956709956709957,0.657,0.7222222222222222,0.5964912280701754,1.0,0.7796610169491526,0.75,0.8571428571428571,0.9514925373134329,0.8536585365853658,0.8767123287671232,1.0,0.9940828402366864,1.0,0.8181818181818182,0.9722222222222222,0.7037037037037037,0.6829268292682927,0.943,0.971,0.995,0.853,0.985,0.859
