pipeline,dataset
autodp_00_baseline,D_62
autodp_00_baseline,D_148
autodp_00_baseline,D_272
autodp_00_baseline,D_965
autodp_00_baseline,D_1086
autodp_00_baseline,D_1158
autodp_ofat_imputation_random,D_7
autodp_ofat_imputation_random,D_62
autodp_ofat_imputation_random,D_148
autodp_ofat_imputation_random,D_272
autodp_ofat_imputation_random,D_965
autodp_ofat_imputation_random,D_1086
autodp_ofat_imputation_random,D_1158
autodp_ofat_imputation_drop,D_2
autodp_ofat_imputation_drop,D_4
autodp_ofat_imputation_drop,D_7
autodp_ofat_imputation_drop,D_25
autodp_ofat_imputation_drop,D_27
autodp_ofat_imputation_drop,D_51
autodp_ofat_imputation_drop,D_52
autodp_ofat_imputation_drop,D_62
autodp_ofat_imputation_drop,D_148
autodp_ofat_imputation_drop,D_272
autodp_ofat_imputation_drop,D_378
autodp_ofat_imputation_drop,D_381
autodp_ofat_imputation_drop,D_382
autodp_ofat_imputation_drop,D_858
autodp_ofat_imputation_drop,D_963
autodp_ofat_imputation_drop,D_965
autodp_ofat_imputation_drop,D_989
autodp_ofat_imputation_drop,D_993
autodp_ofat_imputation_drop,D_999
autodp_ofat_imputation_drop,D_1018
autodp_ofat_imputation_drop,D_1086
autodp_ofat_imputation_drop,D_1158
autodp_ofat_imputation_drop,D_23380
autodp_ofat_imputation_knn,D_7
autodp_ofat_imputation_knn,D_62
autodp_ofat_imputation_knn,D_148
autodp_ofat_imputation_knn,D_272
autodp_ofat_imputation_knn,D_965
autodp_ofat_imputation_knn,D_1086
autodp_ofat_imputation_knn,D_1158
autodp_ofat_imputation_most_frequent,D_7
autodp_ofat_imputation_most_frequent,D_62
autodp_ofat_imputation_most_frequent,D_148
autodp_ofat_imputation_most_frequent,D_272
autodp_ofat_imputation_most_frequent,D_965
autodp_ofat_imputation_most_frequent,D_1086
autodp_ofat_imputation_most_frequent,D_1158
autodp_ofat_imputation_em,D_7
autodp_ofat_imputation_em,D_62
autodp_ofat_imputation_em,D_148
autodp_ofat_imputation_em,D_272
autodp_ofat_imputation_em,D_965
autodp_ofat_imputation_em,D_1086
autodp_ofat_imputation_em,D_1151
autodp_ofat_imputation_em,D_1158
autodp_ofat_imputation_mice,D_7
autodp_ofat_imputation_mice,D_62
autodp_ofat_imputation_mice,D_148
autodp_ofat_imputation_mice,D_272
autodp_ofat_imputation_mice,D_965
autodp_ofat_imputation_mice,D_1086
autodp_ofat_imputation_mice,D_1151
autodp_ofat_imputation_mice,D_1158
autodp_ofat_encoding_ordinal,D_1086
autodp_ofat_encoding_ordinal,D_1151
autodp_ofat_encoding_ordinal,D_1158
autodp_ofat_encoding_binary,D_1086
autodp_ofat_encoding_binary,D_1151
autodp_ofat_encoding_binary,D_1158
autodp_ofat_encoding_frequency,D_1086
autodp_ofat_encoding_frequency,D_1151
autodp_ofat_encoding_frequency,D_1158
autodp_ofat_encoding_catboost,D_1086
autodp_ofat_encoding_catboost,D_1151
autodp_ofat_encoding_catboost,D_1158
autodp_ofat_normalization_zscore,D_62
autodp_ofat_normalization_zscore,D_148
autodp_ofat_normalization_zscore,D_272
autodp_ofat_normalization_zscore,D_965
autodp_ofat_normalization_zscore,D_1086
autodp_ofat_normalization_zscore,D_1151
autodp_ofat_normalization_zscore,D_1158
autodp_ofat_normalization_minmax,D_62
autodp_ofat_normalization_minmax,D_148
autodp_ofat_normalization_minmax,D_272
autodp_ofat_normalization_minmax,D_965
autodp_ofat_normalization_minmax,D_1086
autodp_ofat_normalization_minmax,D_1151
autodp_ofat_normalization_minmax,D_1158
autodp_ofat_normalization_decimal_scale,D_43
autodp_ofat_normalization_decimal_scale,D_62
autodp_ofat_normalization_decimal_scale,D_148
autodp_ofat_normalization_decimal_scale,D_272
autodp_ofat_normalization_decimal_scale,D_338
autodp_ofat_normalization_decimal_scale,D_480
autodp_ofat_normalization_decimal_scale,D_724
autodp_ofat_normalization_decimal_scale,D_764
autodp_ofat_normalization_decimal_scale,D_765
autodp_ofat_normalization_decimal_scale,D_767
autodp_ofat_normalization_decimal_scale,D_790
autodp_ofat_normalization_decimal_scale,D_844
autodp_ofat_normalization_decimal_scale,D_965
autodp_ofat_normalization_decimal_scale,D_1026
autodp_ofat_normalization_decimal_scale,D_1086
autodp_ofat_normalization_decimal_scale,D_1151
autodp_ofat_normalization_decimal_scale,D_1158
autodp_ofat_normalization_decimal_scale,D_4552
autodp_ofat_normalization_decimal_scale,D_40663
autodp_ofat_feature_selection_missing_ratio,D_62
autodp_ofat_feature_selection_missing_ratio,D_148
autodp_ofat_feature_selection_missing_ratio,D_272
autodp_ofat_feature_selection_missing_ratio,D_965
autodp_ofat_feature_selection_missing_ratio,D_1086
autodp_ofat_feature_selection_missing_ratio,D_1151
autodp_ofat_feature_selection_missing_ratio,D_1158
autodp_ofat_feature_selection_wrapper,D_62
autodp_ofat_feature_selection_wrapper,D_148
autodp_ofat_feature_selection_wrapper,D_272
autodp_ofat_feature_selection_wrapper,D_965
autodp_ofat_feature_selection_wrapper,D_1086
autodp_ofat_feature_selection_wrapper,D_1151
autodp_ofat_feature_selection_wrapper,D_1158
autodp_ofat_feature_selection_collinear,D_62
autodp_ofat_feature_selection_collinear,D_148
autodp_ofat_feature_selection_collinear,D_272
autodp_ofat_feature_selection_collinear,D_965
autodp_ofat_feature_selection_collinear,D_1080
autodp_ofat_feature_selection_collinear,D_1086
autodp_ofat_feature_selection_collinear,D_1151
autodp_ofat_feature_selection_collinear,D_1158
autodp_ofat_feature_selection_tree_based,D_62
autodp_ofat_feature_selection_tree_based,D_148
autodp_ofat_feature_selection_tree_based,D_272
autodp_ofat_feature_selection_tree_based,D_965
autodp_ofat_feature_selection_tree_based,D_1086
autodp_ofat_feature_selection_tree_based,D_1151
autodp_ofat_feature_selection_tree_based,D_1158
autodp_ofat_duplicate_removal_exact,D_62
autodp_ofat_duplicate_removal_exact,D_148
autodp_ofat_duplicate_removal_exact,D_272
autodp_ofat_duplicate_removal_exact,D_965
autodp_ofat_duplicate_removal_exact,D_1013
autodp_ofat_duplicate_removal_exact,D_1151
autodp_ofat_duplicate_removal_approximate,D_62
