dataset,dataset_id,observed_scores,baseline_score,best_score,best_lift_vs_baseline,best_pipelines,baseline_is_best_or_tied,pipelines_beating_baseline,score_mean,score_std,score_range
D_2,2,33,0.8555555555555555,0.9444444444444444,0.0888888888888889,autodp_ofat_encoding_binary,False,9,0.8227272727272726,0.05119893706596545,0.21111111111111114
D_3,3,36,0.9578125,0.9625,0.004687500000000067,autodp_combo_01_basic|autodp_combo_05_random_ordinal|autodp_combo_06_drop_binary|autodp_ofat_encoding_binary,False,5,0.9516059027777778,0.013821655301062212,0.06718750000000007
D_4,4,33,1.0,1.0,0.0,autodp_00_baseline|autodp_combo_01_basic|autodp_ofat_duplicate_removal_approximate|autodp_ofat_duplicate_removal_exact|autodp_ofat_encoding_binary|autodp_ofat_encoding_ordinal|autodp_ofat_feature_selection_collinear|autodp_ofat_feature_selection_missing_ratio|autodp_ofat_feature_selection_tree_based|autodp_ofat_feature_selection_wrapper|autodp_ofat_imputation_em|autodp_ofat_imputation_knn|autodp_ofat_imputation_most_frequent|autodp_ofat_normalization_zscore|autodp_ofat_outlier_removal_iqr|autodp_ofat_outlier_removal_lof|autodp_ofat_outlier_removal_zscore,True,0,0.9393939393939394,0.08526233846532391,0.33333333333333337
D_5,5,36,0.6629213483146067,0.7528089887640449,0.0898876404494382,autodp_ofat_feature_selection_tree_based,False,14,0.6651061173533084,0.04285235453007651,0.2022471910112359
D_6,6,36,0.763,0.763,0.0,autodp_00_baseline|autodp_ofat_encoding_binary|autodp_ofat_encoding_catboost|autodp_ofat_encoding_frequency|autodp_ofat_encoding_ordinal|autodp_ofat_feature_selection_collinear|autodp_ofat_feature_selection_missing_ratio|autodp_ofat_imputation_drop|autodp_ofat_imputation_em|autodp_ofat_imputation_knn|autodp_ofat_imputation_mice|autodp_ofat_imputation_most_frequent|autodp_ofat_imputation_random,True,0,0.6577222222222222,0.1699750980309095,0.553
D_7,7,17,0.8205128205128205,0.8717948717948718,0.05128205128205132,autodp_ofat_encoding_binary,False,3,0.8099547511312217,0.05281188959279515,0.2564102564102564
D_8,8,36,0.2238805970149253,0.3283582089552239,0.10447761194029859,autodp_ofat_normalization_decimal_scale,False,20,0.26368159203980096,0.04026471158268321,0.10447761194029859
D_9,9,36,0.5121951219512195,0.7317073170731707,0.2195121951219512,autodp_ofat_normalization_zscore,False,11,0.49051490514905155,0.10858723853468387,0.43902439024390244
D_10,10,36,0.9310344827586208,0.9310344827586208,0.0,autodp_00_baseline|autodp_combo_03_mice_catboost|autodp_combo_05_random_ordinal|autodp_combo_09_mice_ordinal|autodp_ofat_duplicate_removal_approximate|autodp_ofat_duplicate_removal_exact|autodp_ofat_feature_selection_collinear|autodp_ofat_feature_selection_missing_ratio|autodp_ofat_feature_selection_tree_based|autodp_ofat_imputation_drop|autodp_ofat_imputation_em|autodp_ofat_imputation_knn|autodp_ofat_imputation_mice|autodp_ofat_imputation_most_frequent|autodp_ofat_imputation_random|autodp_ofat_normalization_zscore|autodp_ofat_outlier_removal_zscore,True,0,0.8812260536398467,0.06266447216013844,0.24137931034482762
D_11,11,36,0.864,0.864,0.0,autodp_00_baseline|autodp_combo_01_basic|autodp_combo_05_random_ordinal|autodp_combo_07_mf_frequency|autodp_combo_10_em_binary|autodp_combo_13_mf_binary|autodp_ofat_duplicate_removal_approximate|autodp_ofat_duplicate_removal_exact|autodp_ofat_encoding_binary|autodp_ofat_encoding_catboost|autodp_ofat_encoding_frequency|autodp_ofat_encoding_ordinal|autodp_ofat_feature_selection_collinear|autodp_ofat_feature_selection_missing_ratio|autodp_ofat_imputation_drop|autodp_ofat_imputation_em|autodp_ofat_imputation_knn|autodp_ofat_imputation_mice|autodp_ofat_imputation_most_frequent|autodp_ofat_imputation_random|autodp_ofat_normalization_decimal_scale|autodp_ofat_normalization_zscore|autodp_ofat_outlier_removal_iqr|autodp_ofat_outlier_removal_lof|autodp_ofat_outlier_removal_zscore,True,0,0.8180000000000001,0.08450378032306534,0.20799999999999996
