dataset,dataset_id,available_scores,missing_scores,coverage,unique_observed_scores,observed_score_std,is_autodp60_holdout,included_in_ready_matrix,exclusion_reason
D_2,2,33,3,0.9166666666666666,16,0.05119893706596545,False,True,
D_3,3,36,0,1.0,11,0.013821655301062212,False,True,
D_4,4,33,3,0.9166666666666666,4,0.08526233846532391,False,True,
D_5,5,36,0,1.0,14,0.04285235453007651,False,True,
D_6,6,36,0,1.0,19,0.1699750980309095,False,True,
D_7,7,17,19,0.4722222222222222,6,0.05281188959279515,False,True,
D_8,8,36,0,1.0,8,0.04026471158268321,False,True,
D_9,9,36,0,1.0,18,0.10858723853468387,False,True,
D_10,10,36,0,1.0,8,0.06266447216013844,False,True,
D_11,11,36,0,1.0,4,0.08450378032306534,False,True,
D_12,12,36,0,1.0,17,0.05911464196848128,False,True,
D_13,13,36,0,1.0,8,0.03225566712736155,False,True,
D_14,14,36,0,1.0,15,0.013766124103737629,False,True,
D_15,15,36,0,1.0,8,0.023749925408642833,False,True,
D_16,16,36,0,1.0,16,0.036386967188443156,False,True,
D_18,18,36,0,1.0,19,0.0961557579344608,False,True,
D_20,20,36,0,1.0,15,0.07254428723966562,False,True,
D_22,22,36,0,1.0,18,0.038128162184181004,False,True,
D_23,23,36,0,1.0,16,0.016914329156189015,False,True,
D_24,24,36,0,1.0,14,0.037359727359752785,False,True,
D_25,25,33,3,0.9166666666666666,10,0.035624182098167964,False,True,
D_26,26,36,0,1.0,12,0.165499139809782,False,True,
D_27,27,33,3,0.9166666666666666,10,0.058039370078711135,False,True,
D_28,28,36,0,1.0,18,0.05452672354219454,False,True,
D_29,29,36,0,1.0,11,0.018809414470569507,False,True,
D_30,30,36,0,1.0,21,0.024670732898079733,False,True,
D_31,31,36,0,1.0,15,0.02811050723989077,True,False,AutoDP60 holdout (leakage guard)
D_32,32,36,0,1.0,17,0.053986702466532255,True,False,AutoDP60 holdout (leakage guard)
D_34,34,36,0,1.0,4,0.036125617008393895,False,True,
D_35,35,36,0,1.0,7,0.03159180211510253,False,True,
D_36,36,36,0,1.0,19,0.09493857419117695,True,False,AutoDP60 holdout (leakage guard)
D_37,37,36,0,1.0,9,0.0247653217738754,False,True,
D_38,38,36,0,1.0,16,0.014405230389379894,False,True,
D_39,39,36,0,1.0,12,0.036017193702143485,False,True,
D_40,40,36,0,1.0,8,0.055916564518117065,False,True,
D_41,41,36,0,1.0,11,0.07741972491939952,False,True,
D_42,42,36,0,1.0,14,0.09072010523359732,False,True,
D_43,43,35,1,0.9722222222222222,7,0.04520828928453722,False,True,
D_44,44,36,0,1.0,21,0.026543443982104734,False,True,
D_46,46,36,0,1.0,13,0.03339161963804591,False,True,
D_48,48,36,0,1.0,11,0.0788734089056107,False,True,
D_49,49,36,0,1.0,8,0.03354652775357562,False,True,
D_50,50,36,0,1.0,10,0.14105895358497575,False,True,
D_51,51,33,3,0.9166666666666666,9,0.055929349924359696,False,True,
D_52,52,33,3,0.9166666666666666,3,0.2777318603003539,False,True,
D_53,53,36,0,1.0,7,0.027528987984073352,False,True,
D_54,54,36,0,1.0,14,0.10750491625348133,False,True,
D_55,55,36,0,1.0,6,0.040817354745270165,False,True,
D_56,56,36,0,1.0,7,0.027331972616899992,False,True,
D_57,57,32,4,0.8888888888888888,17,0.009488423096254412,False,True,
D_59,59,36,0,1.0,13,0.0816288091436703,False,True,
