pipeline,available_scores_full,missing_scores_full,coverage_full,available_scores_ready,missing_scores_ready,coverage_ready,mean_score_ready,score_std_ready,paired_with_baseline,mean_delta_vs_baseline,median_delta_vs_baseline,wins_vs_baseline,ties_vs_baseline,losses_vs_baseline
autodp_00_baseline,838,74,0.918859649122807,812,6,0.9926650366748166,0.7707379121396905,0.18496061892196677,812,0.0,0.0,0,812,0
autodp_ofat_imputation_random,837,75,0.9177631578947368,811,7,0.991442542787286,0.7693247083089472,0.1857096497293105,811,-0.001351829097854174,0.0,18,751,42
autodp_ofat_imputation_drop,821,91,0.9002192982456141,795,23,0.9718826405867971,0.7656800760358109,0.1860091504158355,795,-0.0033641733695938063,0.0,16,734,45
autodp_ofat_imputation_knn,837,75,0.9177631578947368,811,7,0.991442542787286,0.7701519150565532,0.18517473629436892,811,-0.0005246223502481428,0.0,10,783,18
autodp_ofat_imputation_most_frequent,837,75,0.9177631578947368,811,7,0.991442542787286,0.7696980358026885,0.1856720174791193,811,-0.000978501604112797,0.0,11,780,20
autodp_ofat_imputation_em,836,76,0.9166666666666666,810,8,0.9902200488997555,0.7700902395109555,0.18545844553621102,810,-0.0005236410637203084,0.0,9,784,17
autodp_ofat_imputation_mice,836,76,0.9166666666666666,810,8,0.9902200488997555,0.7692849668956929,0.1856680309157178,810,-0.0013289136789827799,0.0,13,769,28
autodp_ofat_encoding_ordinal,841,71,0.9221491228070176,815,3,0.9963325183374083,0.7588412266824592,0.18424268912017047,811,-0.012747418421449866,0.0,76,517,218
autodp_ofat_encoding_binary,841,71,0.9221491228070176,815,3,0.9963325183374083,0.7665835490327212,0.18731301725168417,811,-0.005032260942456708,0.0,81,565,165
autodp_ofat_encoding_frequency,841,71,0.9221491228070176,815,3,0.9963325183374083,0.7514256434579702,0.18689102639782423,811,-0.019907520992475013,0.0,60,499,252
autodp_ofat_encoding_catboost,841,71,0.9221491228070176,815,3,0.9963325183374083,0.7618977115649513,0.18466357758498456,811,-0.009610506979734645,0.0,82,510,219
autodp_ofat_normalization_zscore,837,75,0.9177631578947368,811,7,0.991442542787286,0.7789990207745489,0.1820618667366839,811,0.008323612530405634,0.0,259,403,149
autodp_ofat_normalization_minmax,837,75,0.9177631578947368,811,7,0.991442542787286,0.7709932732372363,0.1814938305267444,811,0.0003178649930930207,0.0,270,283,258
autodp_ofat_normalization_decimal_scale,825,87,0.9046052631578947,799,19,0.9767726161369193,0.7458957947248842,0.18889619912248304,799,-0.024884407849905706,0.0,204,243,352
autodp_ofat_feature_selection_missing_ratio,837,75,0.9177631578947368,811,7,0.991442542787286,0.7704248960161755,0.18512062860121645,811,-0.00025051222796780906,0.0,5,795,11
autodp_ofat_feature_selection_wrapper,837,75,0.9177631578947368,811,7,0.991442542787286,0.7585629095584951,0.18970129470622754,811,-0.012112498685648015,0.0,176,330,305
autodp_ofat_feature_selection_collinear,836,76,0.9166666666666666,810,8,0.9902200488997555,0.7697224540437937,0.1848979338595464,810,-0.0010992523425724528,0.0,58,691,61
