shard_index,file,dataset_columns,non_missing_cells,blank_cells_in_file,first_dataset,last_dataset
0,historical_autodp36.part_0000_of_0032.txt,29,995,49,D_2,D_34
1,historical_autodp36.part_0001_of_0032.txt,29,983,61,D_34,D_72
2,historical_autodp36.part_0002_of_0032.txt,29,1026,18,D_73,D_137
3,historical_autodp36.part_0003_of_0032.txt,29,994,50,D_137,D_172
4,historical_autodp36.part_0004_of_0032.txt,29,1026,18,D_179,D_260
5,historical_autodp36.part_0005_of_0032.txt,29,885,159,D_260,D_327
6,historical_autodp36.part_0006_of_0032.txt,29,674,370,D_328,D_388
7,historical_autodp36.part_0007_of_0032.txt,29,540,504,D_388,D_462
8,historical_autodp36.part_0008_of_0032.txt,29,1025,19,D_463,D_718
9,historical_autodp36.part_0009_of_0032.txt,29,1025,19,D_718,D_746
10,historical_autodp36.part_0010_of_0032.txt,29,982,62,D_747,D_775
11,historical_autodp36.part_0011_of_0032.txt,29,1025,19,D_775,D_804
12,historical_autodp36.part_0012_of_0032.txt,29,1026,18,D_805,D_835
13,historical_autodp36.part_0013_of_0032.txt,29,1022,22,D_835,D_864
14,historical_autodp36.part_0014_of_0032.txt,29,1026,18,D_865,D_895
15,historical_autodp36.part_0015_of_0032.txt,29,1026,18,D_895,D_923
16,historical_autodp36.part_0016_of_0032.txt,29,1016,28,D_924,D_953
17,historical_autodp36.part_0017_of_0032.txt,29,991,53,D_953,D_981
18,historical_autodp36.part_0018_of_0032.txt,29,1014,30,D_982,D_1010
19,historical_autodp36.part_0019_of_0032.txt,29,1004,40,D_1010,D_1050
20,historical_autodp36.part_0020_of_0032.txt,29,805,239,D_1053,D_1086
21,historical_autodp36.part_0021_of_0032.txt,29,6,1038,D_1086,D_1129
22,historical_autodp36.part_0022_of_0032.txt,29,761,283,D_1130,D_1158
23,historical_autodp36.part_0023_of_0032.txt,29,1026,18,D_1158,D_1233
24,historical_autodp36.part_0024_of_0032.txt,29,954,90,D_1240,D_1376
25,historical_autodp36.part_0025_of_0032.txt,29,1026,18,D_1376,D_1404
26,historical_autodp36.part_0026_of_0032.txt,29,1026,18,D_1405,D_1468
27,historical_autodp36.part_0027_of_0032.txt,29,1016,28,D_1468,D_1526
28,historical_autodp36.part_0028_of_0032.txt,29,1026,18,D_1527,D_1556
29,historical_autodp36.part_0029_of_0032.txt,29,1007,37,D_1556,D_23499
30,historical_autodp36.part_0030_of_0032.txt,29,1020,24,D_23512,D_40681
31,historical_autodp36.part_0031_of_0032.txt,29,1026,18,D_40681,D_41671
