Id,DatasetName,Target,Pipeline,EvaluationMetric,Time,Size,Website
1,10,target,"AR_encoding:onehot,AR_imputation:none,AR_scaling:none,AR_outlier_removal:iqr,AR_feature_selection:variance_threshold,AR_dimensionality_reduction:pca,RF",0.9047619047619048,0.0,142*19,acorec-retrained
2,10,target,"AR_imputation:knn,AR_dimensionality_reduction:pca,AR_scaling:none,AR_encoding:onehot,AR_feature_selection:k_best,AR_outlier_removal:lof,RF",0.8571428571428572,0.0,142*19,acorec-retrained
3,10,target,"AR_scaling:none,AR_imputation:knn,AR_encoding:onehot,AR_outlier_removal:zscore,AR_feature_selection:variance_threshold,AR_dimensionality_reduction:svd,RF",0.9047619047619048,0.0,142*19,acorec-retrained
4,10,target,"AR_dimensionality_reduction:pca,AR_scaling:minmax,AR_outlier_removal:zscore,AR_encoding:onehot,AR_feature_selection:k_best,AR_imputation:mean,RF",0.8214285714285715,0.0,142*19,acorec-retrained
5,10,target,"AR_encoding:onehot,AR_dimensionality_reduction:pca,AR_scaling:none,AR_outlier_removal:isolation_forest,AR_imputation:constant,AR_feature_selection:variance_threshold,RF",0.9047619047619048,0.0,142*19,acorec-retrained
6,10,target,"AR_imputation:median,AR_encoding:onehot,AR_outlier_removal:zscore,AR_scaling:maxabs,AR_feature_selection:none,AR_dimensionality_reduction:pca,RF",0.8690476190476191,0.0,142*19,acorec-retrained
7,10,target,"AR_outlier_removal:zscore,AR_scaling:minmax,AR_imputation:none,AR_dimensionality_reduction:none,AR_feature_selection:mutual_info,AR_encoding:onehot,RF",0.8333333333333334,0.0,142*19,acorec-retrained
8,10,target,"AR_encoding:onehot,AR_scaling:robust,AR_feature_selection:none,AR_dimensionality_reduction:none,AR_imputation:none,AR_outlier_removal:none,RF",0.9404761904761904,0.0,142*19,acorec-retrained
9,10,target,"AR_imputation:none,AR_outlier_removal:zscore,AR_scaling:standard,AR_encoding:onehot,AR_feature_selection:k_best,AR_dimensionality_reduction:pca,RF",0.8690476190476191,0.0,142*19,acorec-retrained
10,10,target,"AR_scaling:maxabs,AR_imputation:median,AR_feature_selection:k_best,AR_encoding:onehot,AR_dimensionality_reduction:pca,AR_outlier_removal:lof,RF",0.8214285714285715,0.0,142*19,acorec-retrained
