,D_22,D_23,D_24,D_26,D_28,D_29,D_30,D_31,D_32,D_34,D_35,D_36,D_37,D_39,D_40,D_41,D_42,D_43,D_48,D_49,D_50,D_53,D_54,D_55,D_56,D_59,D_60,D_61,D_62,D_163,D_164,D_171,D_181,D_182,D_185,D_186,D_187,D_188,D_275,D_276,D_277,D_278,D_285,D_300,D_301,D_307,D_308,D_310,D_311,D_312,D_313,D_316,D_327,D_328,D_329,D_333,D_334,D_335,D_336,D_337,D_338,D_339,D_340,D_342,D_343,D_346,D_372,D_375,D_378,D_443,D_444,D_446,D_448,D_450,D_451,D_452,D_453,D_454,D_455,D_457,D_458,D_459,D_461,D_462,D_463,D_464,D_465,D_467,D_468,D_469
baseline,0.835,0.592760181,1.0,0.998666667,0.982666667,0.855072464,0.975333333,0.75,0.992,0.740740741,0.981818182,0.975468975,0.757575758,0.87,0.841269841,0.753846154,0.917073171,0.673913043,0.652173913,0.824175824,0.993055556,0.827160494,0.783464567,0.872340426,0.969465649,0.933962264,0.866,0.933333333,0.933333333,0.6,0.8125,0.244354129,0.594170404,0.915333333,0.937810945,0.737704918,0.944444444,0.678733032,0.684210526,0.681818182,0.695652174,0.863636364,0.625,0.859440684,0.97109067,0.936026936,0.94493354,0.990666667,0.971631206,0.982019364,0.747658491,0.986225895,0.625,0.6875,0.479166667,1.0,1,1.0,0.851851852,0.847619048,0.510638298,0.818181818,0.5625,0.866666667,0.666666667,0.666666667,0.321886003,0.975333333,0.815333333,0.777777778,0.8,0.983333333,0.666666667,0.9625,0.966666667,0.5,0.588235294,0.937810945,0.844262295,0.75,0.996047431,0.8,1.0,0.714285714,0.833333333,0.92,0.9,0.8125,0.863636364,0.1875
simple_preprocess,0.835,0.556561086,1.0,0.995333333,0.982666667,0.869565217,0.977333333,0.75,0.992,0.740740741,0.9,0.978354978,0.757575758,0.85,0.841269841,0.753846154,0.917073171,0.663043478,0.586956522,0.846153846,0.996527778,0.87654321,0.783464567,0.85106383,0.961832061,0.933962264,0.866,0.933333333,0.933333333,0.3,0.84375,0.233509779,0.594170404,0.915333333,0.945273632,0.696721311,0.944444444,0.642533937,0.526315789,0.681818182,0.695652174,0.772727273,0.607142857,0.856706798,0.964520368,0.956228956,0.944598781,0.992,0.971631206,0.982019364,0.786047101,0.986225895,0.6875,0.65625,0.479166667,1.0,1,0.994011976,0.851851852,0.847619048,0.468085106,0.818181818,0.625,0.866666667,0.722222222,0.533333333,0.3294577,0.975333333,0.82,0.777777778,0.775,0.966666667,0.833333333,0.9625,0.973333333,0.511627907,0.470588235,0.945273632,0.844262295,0.75,0.996047431,0.76,1.0,0.714285714,0.833333333,0.906666667,0.9,0.8125,0.863636364,0.2
robust_preprocess,0.755154639,0.557109557,1.0,0.995333333,0.965403624,0.837398374,0.991260924,0.77016129,0.988002823,0.740740741,0.9,0.97740113,0.753926702,0.861702128,0.96,0.911764706,0.917073171,0.725,0.511111111,0.851851852,0.996527778,0.863636364,0.778688525,0.913043478,0.961832061,1.0,0.851340374,0.909090909,0.965517241,0.5,0.84375,0.233509779,0.579411765,0.914988814,0.973063973,0.745098039,0.979591837,0.686440678,0.0,0.5,1.0,1.0,0.681818182,1.0,0.964520368,0.940972222,0.944619143,0.98926507,1.0,1.0,0.889253378,0.985074627,0.633333333,0.65625,0.479166667,0.992063492,1,0.994011976,0.851851852,0.731707317,0.382978723,0.714285714,0.75,0.777777778,0.5,0.444444444,0.3294577,0.986890022,0.82,0.777777778,0.775,0.95,0.833333333,0.973333333,1.0,0.546511628,0.4,0.973063973,0.784482759,0.857142857,0.931034483,0.76,0.851851852,0.714285714,0.862745098,0.92,0.793103448,1.0,0.863636364,0.2
feature_selection,0.808333333,0.524886878,1.0,0.974,0.968,0.845410628,0.977333333,0.73,0.992,0.740740741,0.845454545,0.978354978,0.757575758,0.85,0.793650794,0.753846154,0.351219512,0.663043478,0.586956522,0.802197802,0.979166667,0.87654321,0.783464567,0.829787234,0.977099237,0.943396226,0.878666667,0.933333333,1.0,0.5,0.9375,0.210460305,0.594170404,0.901333333,0.947761194,0.762295082,0.944444444,0.714932127,0.684210526,0.727272727,0.695652174,0.818181818,0.714285714,0.597180247,0.96977661,0.942760943,0.189596826,0.992,0.960992908,0.835408022,0.646491885,0.979338843,0.6875,0.6875,0.479166667,1.0,1,0.994011976,0.814814815,0.80952381,0.531914894,0.727272727,0.75,0.8,0.722222222,0.533333333,0.288925767,0.975333333,0.802666667,0.777777778,0.775,0.966666667,0.861111111,0.9625,0.973333333,0.604651163,0.588235294,0.947761194,0.819672131,0.75,0.988142292,0.76,1.0,0.714285714,0.888888889,0.906666667,0.933333333,0.8125,0.863636364,0.195833333
dimension_reduction,0.775,0.536199095,0.997333333,0.778666667,0.957333333,0.821256039,0.972666667,0.733333333,0.985333333,0.740740741,0.963636364,0.939393939,0.744588745,0.88,0.904761905,0.692307692,0.882926829,0.695652174,0.652173913,0.747252747,0.975694444,0.839506173,0.783464567,0.808510638,0.93129771,0.952830189,0.868,0.911111111,0.933333333,0.6,0.875,0.1196931,0.594170404,0.910666667,0.932835821,0.770491803,0.962962963,0.687782805,0.736842105,0.681818182,0.608695652,0.909090909,0.553571429,0.773932338,0.97109067,0.936026936,0.03416911,0.985333333,0.95035461,0.875518672,0.753758371,0.986225895,0.75,0.59375,0.520833333,0.994011976,1,0.988023952,0.851851852,0.895238095,0.531914894,0.727272727,0.5,0.866666667,0.777777778,0.333333333,0.179609656,0.956666667,0.787333333,0.740740741,0.425,1.0,0.611111111,0.9625,0.953333333,0.476744186,0.588235294,0.932835821,0.778688525,0.75,0.996047431,0.64,0.766666667,0.714285714,0.87037037,0.946666667,0.866666667,0.875,0.863636364,0.179166667
conservative,0.835,0.581447964,0.999333333,0.995333333,0.979333333,0.821256039,0.944,0.753333333,0.992,0.740740741,0.972727273,0.966810967,0.757575758,0.87,0.841269841,0.753846154,0.912195122,0.684782609,0.630434783,0.824175824,0.996527778,0.87654321,0.795275591,0.808510638,0.961832061,0.952830189,0.866,0.933333333,0.933333333,0.3,0.84375,0.242436707,0.580717489,0.915333333,0.945273632,0.762295082,0.944444444,0.705882353,0.526315789,0.5,0.695652174,0.772727273,0.660714286,0.861946881,0.97109067,0.956228956,0.944619184,0.978,0.964539007,0.982019364,0.768226385,0.982093664,0.71875,0.6875,0.479166667,1.0,1,0.994011976,0.851851852,0.847619048,0.468085106,0.818181818,0.5625,0.866666667,0.666666667,0.533333333,0.324059129,0.975333333,0.818,0.777777778,0.775,0.966666667,0.833333333,0.9625,0.973333333,0.546511628,0.470588235,0.945273632,0.827868852,0.75,0.988142292,0.76,1.0,0.714285714,0.833333333,0.933333333,0.9,0.8125,0.863636364,0.2
aggressive,0.726804124,0.51048951,0.999333333,0.929333333,0.941956882,0.8125,0.990012484,0.725806452,0.982332155,0.740740741,0.845454545,0.951977401,0.77486911,0.893617021,0.76,0.676470588,0.351219512,0.6375,0.6,0.790123457,0.96875,0.848484848,0.799180328,0.869565217,0.961832061,1.0,0.875609756,0.818181818,0.931034483,0.5,0.84375,0.175585926,0.588235294,0.897837435,0.962962963,0.745098039,0.959183673,0.593220339,0.0,0.5,0.0,1.0,0.704545455,1.0,0.967148489,0.940972222,0.093216048,0.990090834,1.0,1.0,0.826874852,0.940298507,0.7,0.6875,0.520833333,1.0,1,0.988023952,0.839506173,0.780487805,0.489361702,0.142857143,0.583333333,0.909090909,0.333333333,0.222222222,0.292771578,0.958485069,0.804,0.740740741,0.725,1.0,0.611111111,0.973333333,0.992957746,0.569767442,0.466666667,0.962962963,0.818965517,0.857142857,1.0,0.64,0.888888889,0.714285714,0.882352941,0.946666667,0.965517241,0.875,0.863636364,0.204166667
knn_impute_pca,0.775,0.536199095,0.997333333,0.778666667,0.957333333,0.826086957,0.972666667,0.733333333,0.985333333,0.740740741,0.963636364,0.939393939,0.744588745,0.88,0.904761905,0.692307692,0.882926829,0.695652174,0.652173913,0.725274725,0.975694444,0.839506173,0.783464567,0.829787234,0.93129771,0.952830189,0.868,0.911111111,0.933333333,0.6,0.875,0.1196931,0.594170404,0.910666667,0.937810945,0.786885246,0.962962963,0.628959276,0.736842105,0.681818182,0.608695652,0.909090909,0.553571429,0.773932338,0.97109067,0.936026936,0.03416911,0.985333333,0.95035461,0.875518672,0.753758371,0.986225895,0.78125,0.59375,0.520833333,0.994011976,1,0.988023952,0.851851852,0.895238095,0.531914894,0.727272727,0.5,0.8,0.777777778,0.333333333,0.179609656,0.956666667,0.787333333,0.740740741,0.425,1.0,0.611111111,0.9625,0.973333333,0.558139535,0.588235294,0.937810945,0.745901639,0.75,0.996047431,0.64,0.766666667,0.714285714,0.87037037,0.946666667,0.866666667,0.875,0.863636364,0.179166667
mutual_info_zscore,0.758034026,0.548209366,,0.948,,0.773584906,0.980910426,0.803738318,0.994546694,0.739130435,0.823529412,,0.763285024,,0.784313725,0.847457627,0.802469136,0.65,0.565217391,0.791666667,0.996527778,0.797468354,0.72983871,0.775,0.957446809,,0.86919228,0.911111111,1.0,0.333333333,0.875,0.333333333,0.600490196,0.895819054,0.945054945,0.828282828,0.921568627,0.875,0.642857143,0.8125,0.647058824,0.75,0.384615385,0.569200575,,,0.94493354,0.992034757,,0.868644068,0.786818266,0.955932203,,,0.479166667,1.0,1,0.994011976,0.851851852,0.747252747,,,0.0,0.5,0.785714286,0.533333333,,0.972803347,,0.782608696,,0.966666667,,0.91025641,1.0,,0.444444444,0.945054945,0.838983051,0.571428571,0.984848485,0.791666667,1.0,,0.894736842,0.92,,0.714285714,0.863636364,0.248407643
constant_maxabs_iforest,0.812280702,0.564285714,0.997894737,1.0,0.985263158,0.852791878,0.950877193,0.764912281,0.988070175,0.72,0.942857143,0.959028832,0.744292237,0.894736842,0.716666667,0.737704918,0.876923077,0.747126437,0.511627907,0.862068966,0.989010989,0.805194805,0.676348548,0.8,0.975806452,0.94,0.853333333,0.930232558,1.0,0.555555556,0.833333333,0.202624977,0.453900709,0.911578947,0.934554974,0.75862069,0.901960784,0.719047619,0.722222222,0.761904762,0.571428571,0.904761905,0.603773585,0.885363698,0.968188105,0.964539007,0.943142936,0.985263158,0.962546816,0.981049563,0.715878367,0.985486212,0.533333333,0.633333333,0.695652174,0.987421384,1,0.993670886,0.855263158,0.86,0.377777778,0.818181818,0.733333333,0.571428571,0.529411765,0.333333333,0.330067575,0.978947368,0.814736842,0.615384615,0.815789474,1.0,0.685714286,0.933333333,1.0,0.518518519,0.5625,0.934554974,0.862068966,0.714285714,1.0,0.708333333,0.931034483,0.833333333,0.769230769,0.791666667,0.857142857,0.933333333,0.80952381,0.25
mean_minmax_lof_svd,0.775,0.48655914,0.998666667,0.862,0.964595858,0.824390244,0.974233983,0.723333333,0.989152542,0.740740741,0.854545455,0.964939024,0.717488789,0.892473118,0.746031746,0.666666667,0.351219512,0.75,0.418604651,0.791208791,0.934027778,0.864197531,0.813492063,0.717391304,0.912698413,0.913043478,0.874,1.0,1.0,0.5,1.0,0.16672653,0.61465721,0.893051771,0.936386768,0.78125,1.0,0.711009174,0.684210526,0.714285714,0.681818182,0.80952381,0.625,0.586260378,0.971925134,0.929292929,0.117576673,0.989071038,0.973180077,0.830188679,0.453537703,0.981792717,0.65625,0.71875,0.583333333,0.958083832,1,0.988023952,0.916666667,0.848484848,0.510638298,0.636363636,0.75,0.733333333,0.833333333,0.466666667,0.281440914,0.956666667,0.799333333,0.777777778,0.625,0.93220339,0.611111111,0.986666667,1.0,0.476744186,0.411764706,0.936386768,0.844827586,0.714285714,0.980237154,0.789473684,0.857142857,0.714285714,0.795454545,0.863013699,0.933333333,0.666666667,0.909090909,0.196891192
mostfreq_standard_iqr,0.757731959,0.55011655,1.0,0.995333333,0.973466003,0.875,0.991260924,0.778225806,0.987985866,0.740740741,0.9,0.985875706,0.759162304,0.861702128,0.96,0.882352941,0.917073171,0.725,0.533333333,0.888888889,0.996527778,0.863636364,0.774590164,0.75,0.961832061,1.0,0.863414634,0.909090909,0.965517241,0.5,0.84375,0.233509779,0.582352941,0.908277405,0.976430976,0.745098039,0.979591837,0.63559322,0.0,0.5,0.0,1.0,0.681818182,1.0,0.964520368,0.940972222,0.944598781,0.990916598,1.0,1.0,0.881068587,0.985074627,0.566666667,0.65625,0.479166667,0.992063492,1,0.994011976,0.851851852,0.756097561,0.468085106,0.571428571,0.583333333,0.666666667,0.5,0.444444444,0.3294577,0.98616169,0.82,0.740740741,0.775,0.966666667,0.833333333,0.973333333,1.0,0.5,0.4,0.976430976,0.711864407,0.857142857,1.0,0.76,0.851851852,0.714285714,0.862745098,0.906666667,0.793103448,1.0,0.863636364,0.2
