,3_Dataset_3,5_Dataset_5,7_Dataset_7,8_Dataset_8,9_Dataset_9,10_Dataset_10,11_Dataset_11,12_Dataset_12,13_Dataset_13,14_Dataset_14,15_Dataset_15,16_Dataset_16,18_Dataset_18,20_Dataset_20,22_Dataset_22,23_Dataset_23,24_Dataset_24,26_Dataset_26,28_Dataset_28,29_Dataset_29,30_Dataset_30,31_Dataset_31,32_Dataset_32,34_Dataset_34,35_Dataset_35,36_Dataset_36,37_Dataset_37,38_Dataset_38,39_Dataset_39,40_Dataset_40,41_Dataset_41,42_Dataset_42,43_Dataset_43,44_Dataset_44,46_Dataset_46,48_Dataset_48,49_Dataset_49,50_Dataset_50,53_Dataset_53,54_Dataset_54,55_Dataset_55,56_Dataset_56,57_Dataset_57,59_Dataset_59,60_Dataset_60,61_Dataset_61,62_Dataset_62,163_Dataset_163,164_Dataset_164,171_Dataset_171
baseline,0.9906103286384976,0.6629213483146067,0.7555555555555555,0.34328358208955223,0.7,0.8571428571428571,0.912,0.9675,0.6842105263157895,0.8675,0.9642857142857143,0.95,0.715,0.955,0.83,0.5423728813559322,0.99,0.997,0.988,0.8188405797101449,0.971,0.745,0.994,0.29411764705882354,0.9178082191780822,0.9567099567099567,0.7532467532467533,0.9814323607427056,0.8181818181818182,0.7142857142857143,0.5813953488372093,0.9343065693430657,0.7540983606557377,0.9434782608695652,0.7163009404388715,0.5333333333333333,0.7377049180327869,0.9947916666666666,0.8888888888888888,0.7692307692307693,0.7096774193548387,0.9655172413793104,0.9854111405835544,0.9428571428571428,0.866,0.8333333333333334,0.9473684210526315,0.3333333333333333,0.8571428571428571,0.4117647058823529
simple_preprocess,,,,0.373134328358209,,,0.904,0.9675,,0.855,0.9857142857142858,0.9475,0.7275,,0.825,0.5152542372881356,,0.99,0.991,,0.964,0.745,0.995,,,0.9567099567099567,0.7532467532467533,,0.8181818181818182,0.6904761904761905,0.4883720930232558,,0.7377049180327869,0.8869565217391304,,0.4,,0.9635416666666666,0.8518518518518519,0.7514792899408284,0.8387096774193549,,0.9920424403183024,0.6142857142857143,0.865,0.8333333333333334,,,,
robust_preprocess,,,,0.29411764705882354,,,0.912,1.0,,0.8614718614718615,0.96875,0.9657794676806084,0.7325,,0.8,0.5017064846416383,,0.99,0.9712793733681462,,0.9869888475836431,0.7904191616766467,0.9915966386554622,,,0.9137931034482759,0.7619047619047619,0.97632058287796,0.8103448275862069,1.0,0.7083333333333334,,0.7547169811320755,0.8865979381443299,,0.4666666666666667,,0.9444444444444444,0.92,0.7371794871794872,0.8,,,0.8888888888888888,0.8523409363745498,0.9666666666666667,,,,
feature_selection,,,,0.373134328358209,,,0.904,,,,,,0.7225,,,,,,,,,,0.88,,,,,,0.7575757575757576,,,,,,,,,,,,,,,,,0.8333333333333334,,,,
dimension_reduction,0.5352112676056338,0.34831460674157305,0.4,0.31343283582089554,0.4,0.7142857142857143,0.912,0.73,0.631578947368421,0.3075,0.9214285714285714,0.425,0.72,0.4575,0.535,0.4745762711864407,0.858,0.301,0.625,0.7898550724637681,0.587,0.55,0.344,,0.8356164383561644,0.5086580086580087,0.7662337662337663,0.9734748010610079,0.7575757575757576,0.6190476190476191,0.5116279069767442,0.29927007299270075,0.7868852459016393,0.8369565217391305,0.6724137931034483,0.3333333333333333,0.8032786885245902,0.515625,0.1111111111111111,0.6331360946745562,0.6451612903225806,0.25287356321839083,0.8925729442970822,0.9142857142857143,0.841,0.8333333333333334,0.8947368421052632,0.3333333333333333,0.5714285714285714,
conservative,,,,0.3880597014925373,,,0.912,0.9625,,0.8575,0.9857142857142858,0.9425,0.685,,0.84,0.511864406779661,,0.99,0.991,,0.948,,0.994,,,,0.7532467532467533,0.9363395225464191,0.8181818181818182,0.7619047619047619,0.627906976744186,0.9343065693430657,0.7377049180327869,,0.9545454545454546,0.43333333333333335,,0.9635416666666666,0.8888888888888888,,0.8387096774193549,,,0.8428571428571429,0.861,0.7666666666666667,,,,
aggressive,0.4694835680751174,0.6629213483146067,,0.3137254901960784,,0.2222222222222222,0.912,,0.5964912280701754,0.4458874458874459,1.0,0.1520912547528517,0.75,0.08444444444444445,0.2897959183673469,0.3993174061433447,0.21733333333333332,0.206,0.39221556886227543,0.46987951807228917,0.9869402985074627,0.7485029940119761,0.13760504201680673,0.7058823529411765,,0.8491379310344828,0.744,0.9810017271157168,0.7241379310344828,,0.2916666666666667,0.2773722627737226,0.7924528301886793,0.5154639175257731,0.512539184952978,0.26666666666666666,0.32,0.6111111111111112,0.18,0.3333333333333333,0.5263157894736842,,0.9737762237762237,1.0,0.29927884615384615,0.8333333333333334,0.10526315789473684,,0.9047619047619048,0.27450980392156865
knn_impute_pca,0.5352112676056338,0.42696629213483145,0.4,0.31343283582089554,0.5,0.7142857142857143,0.912,0.73,0.631578947368421,0.3075,0.9285714285714286,0.425,0.72,0.4575,0.535,0.4745762711864407,0.858,0.302,0.625,0.7753623188405797,0.587,0.55,0.344,,0.8356164383561644,0.5086580086580087,0.7662337662337663,0.9748010610079576,0.7575757575757576,0.6190476190476191,0.5116279069767442,0.29927007299270075,0.7868852459016393,0.8369565217391305,0.6724137931034483,0.3333333333333333,0.819672131147541,0.515625,0.1111111111111111,0.6331360946745562,0.8064516129032258,0.25287356321839083,0.876657824933687,0.9142857142857143,0.841,0.8333333333333334,0.8947368421052632,0.3333333333333333,0.5714285714285714,
mutual_info_zscore,,0.6629213483146067,0.7555555555555555,0.34375,,,0.912,,,,0.9548872180451128,,0.7243107769423559,0.955,,,0.99,,0.99,,,,0.8430769230769231,,,0.9567099567099567,,0.9814323607427056,0.8181818181818182,,,,,,,,,,,,,,0.9854111405835544,0.9428571428571428,,0.8333333333333334,,,,
constant_maxabs_iforest,0.9934102141680395,,,0.31746031746031744,,,0.9322033898305084,,,0.8236842105263158,,0.9631578947368421,0.7078947368421052,,0.8052631578947368,,,0.9968421052631579,,,0.9442105263157895,,0.9926315789473684,,,0.95662100456621,0.7397260273972602,0.9343575418994413,0.8709677419354839,0.7435897435897436,0.525,,,,0.9471947194719472,0.42857142857142855,,0.9835164835164835,0.8823529411764706,,,,,0.9696969696969697,0.8631578947368421,0.9642857142857143,,,,
